PSC,Okres,Kraj
27745,3206,ST
27746,3206,ST
27751,3206,ST
27752,3206,ST
27801,3206,ST
28002,3204,ST
28101,3204,ST
28102,3204,ST
28103,3204,ST
28104,3204,ST
28106,3204,ST
28107,3204,ST
28121,3204,ST
28123,3204,ST
28125,3204,ST
28126,3204,ST
28126,3606,PA
28127,3204,ST
28128,3204,ST
28129,3204,ST
28130,3204,ST
28141,3204,ST
28143,3204,ST
28144,3204,ST
28146,3204,ST
28151,3204,ST
28151,3208,ST
28161,3204,ST
28162,3209,ST
28163,3204,ST
28163,3209,ST
28166,3209,ST
28167,3209,ST
28171,3204,ST
28201,3204,ST
28401,3205,ST
28403,3205,ST
28404,3205,ST
28501,3205,ST
28502,3205,ST
28504,3204,ST
28504,3205,ST
28506,3205,ST
28506,3201,ST
28507,3205,ST
28509,3205,ST
28510,3205,ST
28511,3205,ST
28521,3205,ST
28522,3205,ST
28523,3205,ST
28525,3205,ST
28531,3205,ST
28532,3205,ST
28533,3205,ST
28541,3205,ST
28542,3205,ST
28543,3205,ST
28545,3205,ST
28546,3205,ST
28547,3205,ST
28561,3205,ST
28562,3205,ST
28563,3205,ST
28564,3205,ST
28565,3205,ST
28571,3205,ST
28572,3205,ST
28573,3205,ST
28574,3205,ST
28575,3205,ST
28576,3205,ST
28601,3205,ST
28802,3208,ST
28901,3208,ST
28902,3208,ST
28903,3208,ST
28904,3208,ST
28905,3204,ST
28905,3208,ST
28906,3208,ST
28907,3208,ST
28908,3208,ST
28911,3204,ST
28911,3208,ST
28912,3208,ST
28913,3208,ST
28914,3204,ST
28914,3208,ST
28915,3204,ST
28915,3208,ST
28916,3208,ST
28917,3208,ST
28921,3208,ST
28922,3208,ST
28923,3208,ST
28924,3208,ST
28925,3208,ST
28926,3208,ST
28931,3208,ST
28932,3208,ST
28933,3208,ST
28934,3208,ST
28935,3208,ST
28936,3208,ST
28937,3208,ST
28941,3208,ST
28941,3204,ST
29001,3208,ST
29301,3207,ST
29306,3207,ST
29307,3207,ST
29401,3207,ST
29402,3207,ST
29403,3207,ST
29404,3207,ST
29404,3604,KR
29405,3207,ST
29406,3207,ST
29411,3207,ST
29412,3207,ST
29413,3207,ST
29413,3505,LI
29414,3207,ST
29415,3207,ST
29421,3207,ST
29423,3207,ST
29424,3207,ST
29425,3207,ST
29426,3207,ST
29427,3207,ST
29428,3207,ST
29429,3207,ST
29430,3207,ST
29431,3207,ST
29441,3207,ST
29442,3207,ST
29443,3207,ST
29445,3207,ST
29446,3207,ST
29447,3207,ST
29448,3207,ST
29471,3207,ST
29473,3207,ST
29474,3207,ST
29474,3209,ST
29475,3207,ST
29476,3209,ST
29477,3207,ST
29478,3207,ST
